hotend, nozzle, nozzle_diameter, heater_wattage, temperature, flow_rate, measured_weight
v6, brass, 0.4, 40, 230, 10, 0.95
v6, brass, 0.4, 40, 230, 12, 0.87
v6, brass, 0.4, 40, 230, 14, 0.73
v6, brass, 0.4, 40, 230, 16, 0.61
v6, brass, 0.4, 40, 230, 18, 0.56
v6, brass, 0.4, 40, 240, 10, 0.96
v6, brass, 0.4, 40, 240, 12, 0.95
v6, brass, 0.4, 40, 240, 14, 0.82
v6, brass, 0.4, 40, 240, 16, 0.69
v6, brass, 0.4, 40, 240, 18, 0.63
v6, brass, 0.4, 40, 250, 10, 0.97
v6, brass, 0.4, 40, 250, 12, 0.96
v6, brass, 0.4, 40, 250, 14, 0.93
v6, brass, 0.4, 40, 250, 16, 0.79
v6, brass, 0.4, 40, 250, 18, 0.72
v6, brass, 0.4, 40, 260, 10, 0.97
v6, brass, 0.4, 40, 260, 12, 0.96
v6, brass, 0.4, 40, 260, 14, 0.95
v6, brass, 0.4, 40, 260, 16, 0.89
v6, brass, 0.4, 40, 260, 18, 0.78
