hotend, nozzle, nozzle_diameter, heater_wattage, temperature, flow_rate, measured_weight
v6, cht, 0.5, 40, 260, 20, 0.96
v6, cht, 0.5, 40, 260, 22, 0.94
v6, cht, 0.5, 40, 260, 24, 0.9
v6, cht, 0.5, 40, 260, 26, 0.8
v6, cht, 0.5, 40, 260, 28, 0.71
v6, cht, 0.5, 40, 270, 20, 0.95
v6, cht, 0.5, 40, 270, 22, 0.96
v6, cht, 0.5, 40, 270, 24, 0.94
v6, cht, 0.5, 40, 270, 26, 0.9
v6, cht, 0.5, 40, 270, 28, 0.82
v6, cht, 0.5, 40, 280, 20, 0.96
v6, cht, 0.5, 40, 280, 22, 0.95
v6, cht, 0.5, 40, 280, 24, 0.95
v6, cht, 0.5, 40, 280, 26, 0.95
v6, cht, 0.5, 40, 280, 28, 0.91
