hotend, nozzle, nozzle_diameter, heater_wattage, temperature, flow_rate, measured_weight
v6, bozzle, 0.5, 40w, 230, 10, 0.94
v6, bozzle, 0.5, 40w, 230, 12, 0.95
v6, bozzle, 0.5, 40w, 230, 14, 0.95
v6, bozzle, 0.5, 40w, 230, 16, 0.88
v6, bozzle, 0.5, 40w, 230, 18, 0.77
v6, bozzle, 0.5, 40w, 240, 10, 0.96
v6, bozzle, 0.5, 40w, 240, 12, 0.96
v6, bozzle, 0.5, 40w, 240, 14, 0.95
v6, bozzle, 0.5, 40w, 240, 16, 0.95
v6, bozzle, 0.5, 40w, 240, 18, 0.91
v6, bozzle, 0.5, 40w, 250, 10, 0.97
v6, bozzle, 0.5, 40w, 250, 12, 0.98
v6, bozzle, 0.5, 40w, 250, 14, 0.96
v6, bozzle, 0.5, 40w, 250, 16, 0.96
v6, bozzle, 0.5, 40w, 250, 18, 0.96
v6, bozzle, 0.5, 40w, 260, 10, 0.97
v6, bozzle, 0.5, 40w, 260, 12, 0.97
v6, bozzle, 0.5, 40w, 260, 14, 0.96
v6, bozzle, 0.5, 40w, 260, 16, 0.97
v6, bozzle, 0.5, 40w, 260, 18, 0.97
