hotend, nozzle, nozzle_diameter, heater_wattage, temperature, flow_rate, measured_weight
v6, brass, 0.5, 40, 230, 10, 0.97
v6, brass, 0.5, 40, 230, 12, 0.97
v6, brass, 0.5, 40, 230, 14, 0.92
v6, brass, 0.5, 40, 230, 16, 0.8
v6, brass, 0.5, 40, 230, 18, 0.72
v6, brass, 0.5, 40, 240, 10, 0.97
v6, brass, 0.5, 40, 240, 12, 0.97
v6, brass, 0.5, 40, 240, 14, 0.97
v6, brass, 0.5, 40, 240, 16, 0.9
v6, brass, 0.5, 40, 240, 18, 0.8
v6, brass, 0.5, 40, 250, 10, 0.99
v6, brass, 0.5, 40, 250, 12, 0.98
v6, brass, 0.5, 40, 250, 14, 0.97
v6, brass, 0.5, 40, 250, 16, 0.95
v6, brass, 0.5, 40, 250, 18, 0.85
v6, brass, 0.5, 40, 260, 10, 0.98
v6, brass, 0.5, 40, 260, 12, 0.97
v6, brass, 0.5, 40, 260, 14, 0.97
v6, brass, 0.5, 40, 260, 16, 0.95
v6, brass, 0.5, 40, 260, 18, 0.94
